nombre,nivel,tipo,escuela,clases,tiempo_de_lanzamiento,alcance,componentes,duracion,descripcion,stage,revision
Enredadera,4,Nivel 4,Conjuración,druida; explorador,Acción adicional,18 m,"V, S","Concentración, hasta 1 minuto","Conjuras una enredadera que brota de una superficie

en un espacio sin ocupar que puedas ver dentro del

alcance y permanece hasta que el conjuro termine.

Haz un ataque de conjuro cuerpo a cuerpo contra

una criatura a 9 m o menos de la enredadera. Si acierta,

el objetivo sufrirá 4d8 de daño contundente y será

arrastrado hasta 9 m hacia la enredadera. Si el objetivo

es Enorme o más pequeño, tendrá el estado de agarrado

(CD para escapar igual a tu CD de salvación de conjuros).

La enredadera solo puede agarrar a una criatura a la

vez y puedes hacer que suelte a una criatura con este

estado (no requiere acción). Como acción adicional en

tus siguientes turnos, puedes repetir el ataque contra una

criatura a 9 m o menos de la enredadera.

Con un espacio de conjuro de nivel superior. La cantidad

de criaturas que puede agarrar la enredadera aumenta en

uno por cada nivel por encima de 4 que tenga el espacio.",pendiente,
Ensueño,5,Nivel 5,Ilusionismo,bardo; brujo; mago,1 minuto,Especial,"V, S, M (un puñado de arena)",8 horas,"Elige como objetivo a una criatura que conozcas en el

mismo plano de existencia. Una criatura voluntaria a la que

toques o tú entraréis en un estado de trance y serviréis de

mensajero onírico. Mientras esté en el trance, el mensajero

tendrá el estado de incapacitado y una velocidad de 0.

Si el objetivo está dormido, el mensajero aparece en sus

sueños y puede conversar con él mientras siga dormido

y hasta que termine el conjuro. El mensajero también

puede dar forma al entorno del sueño y crear paisajes,

objetos y otras imágenes. El mensajero puede salir del

trance en cualquier momento, lo que pondrá fin al conjuro.

Al despertar, el objetivo recordará el sueño a la perfección

Si el objetivo está despierto cuando lances el conjuro,

el mensajero lo sabrá y podrá poner fin al trance (y al

conjuro) o esperar a que se duerma, momento en el cual

entrará en sus sueños.

Puedes hacer que el mensajero se le aparezca al objetivo

como un ser aterrador. Si lo haces, el mensajero podrá

entregar un mensaje de un máximo de 10 palabras y luego

el objetivo hará una tirada de salvación de Sabiduría.

Si la falla, no recibirá beneficio alguno del descanso

y sufrirá 3d6 de daño psíquico cuando se despierte.",pendiente,
Entender Idiomas,1,Nivel 1,Adivinación,bardo; brujo; hechicero; mago,"Reacción, que llevas a cabo cuando",Lanzador,"V, S",1 asalto,"Hasta que el conjuro termine, entiendes el significado liter

de las palabras que escuches o veas signadas en cualquier

idioma. También comprendes todas las palabras escritas

que ves, independientemente del idioma en el que estén,

pero debes tocar la superficie en la que estén inscritas.

Tardas aproximadamente 1 minuto en leer una página.

Este conjuro no descifra mensajes secretos ni símbolos.

Escupo

Abjuración de nivel 1 (hechicero, mago)

te acierta una tirada de ataque o eres el objetivo del

conjuro proyectil mágico

Una barrera imperceptible de fuerza mágica te protege.

Hasta el principio de tu siguiente turno, tienes un

bonificador de +5 a la CA, incluido contra el ataque

al que reacciona, y no recibes ningún daño del conjuro

proyectil mágico.",rechazado,
Escudo de Fe,1,Nivel 1,Abjuración,clérigo; paladín,Acción adicional,18 m        3,"V, S, M (un pergamino de plegarias)","Concentración, hasta 10 minutos","Un campo titilante envuelve a una criatura de tu elección

dentro del alcance y le otorga un bonificador de +2 a la CA

hasta que el conjuro termine.

.",ok,
Escudo de Fuego,4,Nivel 4,Evocación,druida; hechicero; mago,Acción,Lanzador,"V, S, M (una luciérnaga o una pizca de fósforo)",10 minutos,"Unas llamas tenues envuelven tu cuerpo hasta que

termine el conjuro y emiten luz brillante en un radio

de 3 m y luz tenue 3 m más allá.

Las llamas te proporcionan un escudo cálido o un

escudo frío, a tu elección. El escudo cálido te proporciona

resistencia al daño de frío, mientras que el escudo frío te

concede resistencia al daño de fuego.

Además, siempre que una criatura a 1,5 m o menos

de ti te acierte con una tirada de ataque cuerpo a cuerpo,

el escudo estallará en llamas. El atacante recibirá 2d8 de

daño de fuego de un escudo cálido o 2d8 de daño de frío

de un escudo frío.

al",pendiente,
Escudriñar,5,Nivel 5,Adivinación,bardo; brujo; clérigo; druida; mago,10 minutos,90 m,"V, S, M (una esfera de cristal en miniatura)","Instantáneo 1000 po, como una bola de cristal, un espejo o una pila llena de agua) Puedes ver y oír a una criatura de tu elección que esté en el mismo plano de existencia que tú. El objetivo hace una tirada de salvación de Sabiduría, modificada en función de lo bien que conozcas al objetivo y el tipo de conexión física que tengas con él (consulta las tablas más adelante). El objetivo desconoce contra qué hace la tirada de salvación; solo sabe que siente intranquilidad. Modificador de la tirad Conocimiento sobre el objetivo                  de salvació De segundas (has oído hablar del objetivo)           +5 De primera mano (has conocido al objetivo)           +0 Familiar (conoces bien al objetivo)                  -5 Modificador de la tira ¿Qué tienes del objetivo?                       de salvació Dibujo u otro retrato                                -2 Prenda u otra posesión                               -4 Parte del cuerpo, mechón de pelo o trozo             -10 de uña Si supera la tirada de salvación, el objetivo no se verá afectado y no podrás volver a usar este conjuro con él durante 24 horas. Si la falla, el conjuro crea un sensor invisible e intangi a 3 mo menos de él. Puedes ver y oír a través del sensor como si estuvieras allí. El sensor se mueve a la vez que el objetivo y permanece a 3 m o menos de él hasta que termine EL CONJURO ESCUDRIÑAR AYUDA A UN BARDO GNOMO A ESTAR EN CONTACTO CON SU FAMILIA Y AMIGOS POR TODO EL MUNDO. el conjuro. Si algo puede percibir el sensor, se mostrará como un orbe luminoso del tamaño aproximado de tu puño. En vez de hacer objetivo a una criatura, puedes elegir una ubicación que hayas visto antes. Cuando lo hagas, el sensor aparecerá en ese lugar y no se moverá. ESFERA CONGELANTE DE OTILUKE a     Evocación de nivel 6 (hechicero, mago) n     Tiempo de lanzamiento: Acción","Un globo glacial surge de ti y golpea un punto de tu elección

dentro del alcance, donde explota en una esfera de 18 m de

da    radio. Todas las criaturas situadas en la zona realizan una

n     tirada de salvación de Constitución; sufrirán 10d6 de daño

de frío si la fallan o la mitad del daño si la superan.

Si el globo golpea una masa de agua, la congelará hasta

una profundidad de 15 cm en un área cuadrada de 9 m de

lado. El hielo dura 1 minuto. Las criaturas que estuvieran

nadando en la superficie del agua congelada quedarán

atrapadas en el hielo y tendrán el estado de apresadas.

Una criatura atrapada puede utilizar una acción para

hacer una prueba de Fuerza (Atletismo) contra tu CD

de salvación de conjuros para liberarse.

ble     Puedes renunciar a lanzar el globo tras completar el

conjuro. En ese caso, en tu mano aparecerá un globo de

tamaño similar a un proyectil de honda que resulta frío

al tacto. En cualquier momento, tú o una criatura a la que

UNA HECHICERA TIEFLING DESATA ESFERA

VITRIÓLICA SOBRE UNOS NÓTICOS,

le entregues el orbe podéis lanzarlo con la mano (hast

un alcance de 12 m) o arrojarlo con una honda (hasta e

alcance normal de la honda). Se hará añicos al impacta

y causará el mismo efecto que el uso normal del conjur

También puedes dejar el orbe en el suelo sin hacerlo

pedazos y, tras 1 minuto, explotará si nadie lo ha hec

estallar.

Con un espacio de conjuro de nivel superior. El daño

aumenta en 1d6 por cada nivel por encima de 6 que teng

el espacio.",pendiente,
Esfera de Llamas,2,Nivel 2,Conjuración,druida; hechicero; mago,Acción,9 m,"V, S, M (una esfera de cristal)","Concentración, hasta 1 minuto","Creas una esfera de fuego de 1,5 m de diámetro en un

espacio sin ocupar del suelo dentro del alcance, y dur

hasta que termine el conjuro. Cualquier criatura que

termine su turno a 1,5 m o menos de ella hará una tira

de salvación de Destreza; sufrirá 2d6 de daño de fuego

si la falla o la mitad de daño si la supera.

Como acción adicional, puedes mover la esfera hasta

9 m haciéndola rodar. Si mueves la esfera al espacio d

criatura, esta hará la tirada de salvación contra la e

que ya no podrá moverse más durante el turno.

Cuando mueves la esfera, puedes llevarla por encima

barreras de hasta 1,5 m de alto y hacer que salte huec

de hasta 3 m de ancho. La esfera prende los objetos

inflamables que toque y no lleve o vista nadie y emite

brillante en un radio de 6 m y luz tenue otros 6 m más

a          Con un espacio de conjuro de nivel superior. El daño

l        aumenta en 1d6 por cada nivel por encima de 2 que tenga

r        el espacio.

o.

ho       ESFERA ELÁSTICA DE OTILUKE

Abjuración de nivel 4 (mago)

a

Una esfera destellante encierra a una criatura u objeto

Grande o más pequeño dentro del alcance. Una criatura

no voluntaria deberá superar una tirada de salvación

de Destreza o quedará encerrada hasta que el conjuro

termine.

Nada (ni objetos físicos ni energía ni los efectos de otros

conjuros) puede atravesar la barrera en ninguna de sus

direcciones, aunque una criatura que esté en la esfera

ará      puede respirar en su interior. La esfera es inmune a todo

el daño y una criatura o un objeto en su interior no puede

da       sufrir daño por ataques o efectos que se originen en el

exterior y tampoco puede dañar a nada que haya fuera

de la esfera.

La esfera no pesa nada y tiene un tamaño justo como

e una    para contener a la criatura o el objeto de su interior.

sfera,   Una criatura encerrada puede utilizar una acción para

empujar las paredes de la esfera y hacerla rodar a hasta

de       la mitad de su velocidad. De forma similar, otras criaturas

os       pueden recoger la esfera y moverla.

Un conjuro desintegrar que haga objetivo a la esfera

luz     la destruirá, pero no dañará nada que haya dentro.

allá.",pendiente,
Esfera Vitriólica,4,Nivel 4,Evocación,hechicero; mago,Acción,45 m,"V, S, M (una gota de bilis)",Instantáneo,"Señalas un lugar dentro del alcance y una bola

resplandeciente de ácido de 30 cm de diámetro vuela

hacia el punto escogido y explota en una esfera de 6 m de

radio. Todas las criaturas situadas en esa zona realizan

una tirada de salvación de Destreza. Si la fallan, recibirán

10d4 de daño de ácido y otros 5d4 de daño de ácido al final

de su siguiente turno. Si la superan, solo sufren la mitad

del daño inicial.

Con un espacio de conjuro de nivel superior. El daño

inicial aumenta en 2d4 por cada nivel por encima de 4 que

tenga el espacio.",pendiente,
Espada de Mordenkainen,7,Nivel 7,Evocación,bardo; mago,Acción,27 m,"V, S, M (una espada en miniatura que valga","Concentración, hasta 1 minuto","al menos 250 po)

Creas una espada espectral que levitará dentro del alcance

y durará hasta que termine el conjuro.

Cuando aparezca la espada, puedes realizar un ataque

de conjuro cuerpo a cuerpo contra un objetivo que se

encuentre a 1,5 m o menos de ella. Si acierta, el objetivo

recibe una cantidad de daño de fuerza igual a 4d12 más

tu modificador por aptitud mágica.

En tus turnos posteriores, puedes emplear una acción

adicional para mover la espada hasta 9 m a un lugar que

puedas ver y repetir el ataque contra el mismo objetivo

u otro distinto.",pendiente,
Espejismo Arcano,7,Nivel 7,Ilusionismo,bardo; druida; mago,10 minutos,Vista,"V, S",10 días,"Haces que el terreno de una zona cuadrada de hasta

1,5 km de lado tenga el aspecto, los sonidos, los olores

e incluso las sensaciones de otro tipo de terreno. Podrías

hacer que un campo abierto o una carretera se parezcan

a un pantano, una colina, una grieta u otro tipo de terreno

difícil o infranqueable. Se puede hacer que un estanque

parezca una pradera cubierta de hierba, que un precipicio

se aparezca como una suave cuesta o que un barranco

pedregoso y estrecho se presente como una carretera

amplia y lisa.

De forma similar, puedes alterar el aspecto de las

estructuras o añadir algunas donde no las hay. El conjuro

no disfraza, oculta ni añade criaturas.

La ilusión incluye elementos sonoros, visuales, táctiles

y olfativos, por lo que puede convertir un lugar despejado

en un terreno difícil (o viceversa) o entorpecer de otra

forma el movimiento por la zona. Cualquier parte del

terreno ilusorio (como una piedra o un palo) que se saque

de la zona desaparece de inmediato.

Las criaturas con visión verdadera pueden ver a través

de la ilusión y distinguir la verdadera forma del terreno.

Sin embargo, todos los demás elementos de la ilusión

permanecen, por lo que, aunque dichas criaturas serán

conscientes de que se trata de una ilusión, podrán

interactuar físicamente con ella.",pendiente,
